name,value
Aceh,2
Bali,23
Banten,23
Bengkulu,23
DKI Jakarta,22
Daerah Istimewa Yogyakarta,23
Daerah Khusus Ibukota Jakarta,1
Gorontalo,23
Jambi,23
Jawa Barat,23
Jawa Tengah,23
Jawa Timur,23
Kalimantan Barat,23
Kalimantan Selatan,23
Kalimantan Tengah,24
Kalimantan Timur,23
Kalimantan Utara,23
Kepulauan Bangka Belitung,23
Kepulauan Riau,23
Lampung,23
Maluku,23
Maluku Utara,23
Nusa Tenggara Barat,23
Nusa Tenggara Timur,23
Papua,24
Papua Barat,23
Papua Barat Daya,2
Papua Pegunungan,23
Papua Selatan,23
Papua Tengah,23
Riau,23
Sulawesi Barat,23
Sulawesi Selatan,23
Sulawesi Tengah,23
Sulawesi Tenggara,23
Sulawesi Utara,23
Sumatera Barat,23
Sumatera Selatan,23
Sumatera Utara,23
